Files: 100
1 -- 18ms
2 -- 4ms
3 -- 3ms
4 -- 3ms
5 -- 3ms
6 -- 7ms
7 -- 3ms
8 -- 3ms
9 -- 3ms
10 -- 3ms
11 -- 3ms
12 -- 3ms
13 -- 3ms
14 -- 3ms
15 -- 2ms
16 -- 3ms
17 -- 3ms
18 -- 3ms
19 -- 3ms
20 -- 3ms
21 -- 3ms
22 -- 3ms
23 -- 5ms
24 -- 3ms
25 -- 2ms
26 -- 3ms
27 -- 3ms
28 -- 2ms
29 -- 3ms
30 -- 3ms
31 -- 3ms
32 -- 2ms
33 -- 2ms
34 -- 2ms
35 -- 2ms
36 -- 2ms
37 -- 2ms
38 -- 2ms
39 -- 2ms
40 -- 2ms
41 -- 3ms
42 -- 2ms
43 -- 3ms
44 -- 2ms
45 -- 2ms
46 -- 3ms
47 -- 2ms
48 -- 3ms
49 -- 2ms
50 -- 3ms
51 -- 2ms
52 -- 4ms
53 -- 2ms
54 -- 2ms
55 -- 3ms
56 -- 2ms
57 -- 3ms
58 -- 2ms
59 -- 3ms
60 -- 2ms
61 -- 3ms
62 -- 2ms
63 -- 2ms
64 -- 3ms
65 -- 2ms
66 -- 3ms
67 -- 3ms
68 -- 3ms
69 -- 2ms
70 -- 3ms
71 -- 2ms
72 -- 3ms
73 -- 2ms
74 -- 2ms
75 -- 3ms
76 -- 2ms
77 -- 3ms
78 -- 2ms
79 -- 3ms
80 -- 2ms
81 -- 3ms
82 -- 2ms
83 -- 2ms
84 -- 3ms
85 -- 2ms
86 -- 3ms
87 -- 2ms
88 -- 3ms
89 -- 2ms
90 -- 3ms
91 -- 2ms
92 -- 2ms
93 -- 3ms
94 -- 2ms
95 -- 3ms
96 -- 2ms
97 -- 3ms
98 -- 2ms
99 -- 3ms
100 -- 2ms
Avg: 2.79
